"Laulību skaits uz 1 000 iedzīvotāju – Laika periods"

"Laika periods";"Laulību skaits uz 1 000 iedzīvotāju"
"1922";…
"1923";…
"1924";…
"1925";…
"1926";…
"1927";…
"1928";…
"1929";…
"1930";…
"1931";…
"1932";…
"1933";…
"1934";…
"1935";8.4
"1936";…
"1937";…
"1938";…
"1939";9.1
"1940";…
"1941";…
"1942";…
"1943";…
"1944";…
"1945";…
"1946";9.3
"1947";9.7
"1948";12.0
"1949";10.6
"1950";10.2
"1951";9.7
"1952";8.8
"1953";9.2
"1954";10.4
"1955";10.8
"1956";11.2
"1957";11.7
"1958";11.6
"1959";11.0
"1960";11.0
"1961";10.5
"1962";10.0
"1963";9.5
"1964";8.6
"1965";8.8
"1966";9.8
"1967";9.9
"1968";10.2
"1969";10.0
"1970";10.2
"1971";10.0
"1972";9.4
"1973";9.8
"1974";10.0
"1975";10.0
"1976";9.6
"1977";10.0
"1978";10.2
"1979";10.0
"1980";9.8
"1981";9.8
"1982";9.7
"1983";9.5
"1984";9.2
"1985";9.3
"1986";9.7
"1987";9.7
"1988";9.5
"1989";9.2
"1990";8.9
"1991";8.4
"1992";7.2
"1993";5.7
"1994";4.6
"1995";4.5
"1996";3.9
"1997";4.0
"1998";4.0
"1999";3.9
"2000";3.9
"2001";4.0
"2002";4.2
"2003";4.4
"2004";4.6
"2005";5.6
"2006";6.6
"2007";7.0
"2008";5.9
"2009";4.6
"2010";4.4
"2011";5.2
"2012";5.5
"2013";5.7
"2014";6.3
"2015";6.9
"2016";6.6
"2017";6.8
"2018";6.8
"2019";6.7
"2020";5.6
"2021";6.0
"2022";6.3
"2023";5.6
